april-x	april-y	april-z	mät-z	mät-y	mät-x	typ

-0.009	0.011	1.985	2.000	0.000	0.000	rak

-0.207	0.011	1.998	2.000	0.000	-0.200	wvänster20
-0.409	0.010	2.028	2.000	0.000	-0.400	wvänster40
-0.612	0.012	2.067	2.000	0.000	-0.600	wvänster60
-0.805  0.012   2.108	2.000	0.000	-0.800	wvänster80
-1.012  0.015   2.170	2.000	0.000	-1.000	wvänster100

0.198	0.007	2.021	2.000	0.000	0.200	whöger20
0.401	0.009	2.022	2.000	0.000	0.400	whöger40
0.602	0.007	2.055	2.000	0.000	0.600	whöger60
0.804	-0.004	2.102	2.000	0.000	0.800	whöger80
1.005	-0.004	2.160	2.000	0.000	1.000	whöger100

-0.001	-0.410	2.015	2.001	-0.425	0.000	hrak

0.198	-0.412	2.025	2.000	-0.425	0.200	hhöger20
0.399	-0.415	2.058	2.000	-0.425	0.400	hhöger40
0.599	-0.416	2.095	2.000	-0.425	0.600	hhöger60
0.801	-0.428	2.143	2.000	-0.425	0.800	hhöger80
1.003	-0.430	2.205	2.000	-0.425	1.000	hhöger100

-0.201	-0.411	2.027	2.000	-0.425	-0.200	hvänster20
-0.401	-0.413	2.060	2.000	-0.425	-0.400	hvänster40
-0.606	-0.412	2.100	2.000	-0.425	-0.600	hvänster60
-0.812	-0.414	2.144	2.000	-0.425	-0.800	hvänster80
-1.028	-0.413	2.208	2.000	-0.425	-1.000	hvänster100

0.000	0.005	0.501	0.500	0.000	0.000 	rak
0.007	0.007	0.993	1.000	0.000	0.000	rak
0.000	0.010	1.486	1.500 	0.000	0.000	rak
-0.005	0.010	2.995	3.000 	0.000	0.000	rak
-0.007	0.007	4.010	4.000	0.000	0.000	rak
0.004	-0.012	3.985	4.000	0.000	0.000	rak

-0.187	-0.009	3.997	4.000	0.000	-0.200	wvänster20
-0.391	-0.003	4.023	4.000	0.000	-0.400	wvänster40
-0.597	-0.003	4.046	4.000	0.000	-0.600	wvänster60
-0.805  -0.009  4.092	4.000	0.000	-0.800	wvänster80
-1.003  0.019   4.130	4.000	0.000	-1.000	wvänster100
-1.216  0.023   4.180	4.000	0.000	-1.200	wvänster120
-1.424  0.027   4.221	4.000	0.000	-1.400	wvänster140
-1.635  0.031   4.286	4.000	0.000	-1.600	wvänster160
-1.837  0.034   4.348	4.000	0.000	-1.800	wvänster180
-2.044  0.038   4.408	4.000	0.000	-2.000	wvänster200

-0.006	-1.085	4.053	4.000	-1.065	0.000	hrak
-0.405	-1.086	4.068	4.000	-1.065	-0.400	hvänster40
-0.823	-1.086	4.122	4.000	-1.065	-0.800	hvänster80
-1.223	-1.092	4.216	4.000	-1.065	-1.200	hvänster120
-1.649	-1.100	4.332	4.000	-1.065	-1.600	hvänster160
-2.063	-1.111	4.470	4.000	-1.065	-2.000	hvänster200


0.389	-1.084	4.061	4.000	-1.065	0.400	hhöger40
0.797	-1.086	4.122	4.000	-1.065	0.800	hhöger80
1.196	-1.087	4.213	4.000	-1.065	1.200	hhöger120
1.605	-1.090	4.326	4.000	-1.065	1.600	hhöger160
2.010	-1.092	4.454	4.000	-1.065	2.000	hhöger200

0.203	-0.005	3.980	4.000	0.000	0.200	whöger20
0.406	-0.007	4.015	4.000	0.000	0.400	whöger40
0.610	-0.009	4.043	4.000	0.000	0.600	whöger60
0.813	-0.010	4.086	4.000	0.000	0.800	whöger80
1.018	-0.011	4.121	4.000	0.000	1.000	whöger100
1.218	-0.012	4.170	4.000	0.000	1.200	whöger120
1.423	-0.012	4.205	4.000	0.000	1.400	whöger140
1.624	-0.013	4.260	4.000	0.000	1.600	whöger160
1.826	-0.015	4.317	4.000	0.000	1.800	whöger180
2.029	-0.016	4.392	4.000	0.000	2.000	whöger200






